2013,2014,2015,2016
1184.318326,1191.080522,1220.532,1220.531771
1184.318326,1191.080522,1220.532,1220.531771
1184.318326,1191.080522,1220.532,1220.531771
1184.318326,1191.080522,1220.532,1220.531771
1184.318326,1191.080522,1220.532,1220.531771
1184.318326,1191.080522,1220.532,1220.531771
1184.318326,1191.080522,1220.532,1220.531771
1184.318326,1191.080522,1220.532,1220.531771
1184.318326,1191.080522,1220.532,1220.531771
1184.318326,1191.080522,1220.532,1220.531771
1184.318326,1191.080522,1220.532,1220.531771
1184.318326,1191.080522,1220.532,1220.531771
1184.318326,1191.080522,1220.532,1220.531771
1184.318326,1191.080522,1220.532,1220.531771
1184.318326,1191.080522,1220.532,1220.531771
1184.318326,1191.080522,1220.532,1220.531771
1184.318326,1191.080522,1220.532,1220.531771
1184.318326,1191.080522,1220.532,1220.531771
1184.318326,1191.080522,1220.532,1220.531771
1184.318326,1191.080522,1220.532,1220.531771
1184.318326,1191.080522,1220.532,1220.531771
1184.318326,1191.080522,1220.532,1220.531771
1184.318326,1191.080522,1220.532,1220.531771
1183.482082,1188.6329,1216.949,1216.94855
1183.482082,1188.6329,1216.949,1216.94855
1183.482082,1188.6329,1216.949,1216.94855
1183.482082,1188.6329,1216.949,1216.94855
1183.482082,1188.6329,1216.949,1216.94855
1183.482082,1188.6329,1216.949,1216.94855
1183.482082,1188.6329,1216.949,1216.94855
1183.482082,1188.6329,1216.949,1216.94855
1183.482082,1188.6329,1216.949,1216.94855
1183.482082,1188.6329,1216.949,1216.94855
1183.482082,1188.6329,1216.949,1216.94855
1183.482082,1188.6329,1216.949,1216.94855
1183.482082,1188.6329,1216.949,1216.94855
1183.482082,1188.6329,1216.949,1216.94855
1183.482082,1188.6329,1216.949,1216.94855
1183.482082,1188.6329,1216.949,1216.94855
1183.482082,1188.6329,1216.949,1216.94855
1183.482082,1188.6329,1216.949,1216.94855
1183.482082,1188.6329,1216.949,1216.94855
1183.482082,1188.6329,1216.949,1216.94855
1183.482082,1188.6329,1216.949,1216.94855
1183.482082,1188.6329,1216.949,1216.94855
1183.482082,1188.6329,1216.949,1216.94855
1183.482082,1188.6329,1216.949,1216.94855
1181.368495,1183.173685,1213.504,1213.503568
1181.368495,1183.173685,1213.504,1213.503568
1181.368495,1183.173685,1213.504,1213.503568
1181.368495,1183.173685,1213.504,1213.503568
1181.368495,1183.173685,1213.504,1213.503568
1181.368495,1183.173685,1213.504,1213.503568
1181.368495,1183.173685,1213.504,1213.503568
1181.368495,1183.173685,1213.504,1213.503568
1181.368495,1183.173685,1213.504,1213.503568
1181.368495,1183.173685,1213.504,1213.503568
1181.368495,1183.173685,1213.504,1213.503568
1181.368495,1183.173685,1213.504,1213.503568
1181.368495,1183.173685,1213.504,1213.503568
1181.368495,1183.173685,1213.504,1213.503568
1181.368495,1183.173685,1213.504,1213.503568
1181.368495,1183.173685,1213.504,1213.503568
1181.368495,1183.173685,1213.504,1213.503568
1181.368495,1183.173685,1213.504,1213.503568
1181.368495,1183.173685,1213.504,1213.503568
1181.368495,1183.173685,1213.504,1213.503568
1181.368495,1183.173685,1213.504,1213.503568
1181.368495,1183.173685,1213.504,1213.503568
1181.368495,1183.173685,1213.504,1213.503568
1181.368495,1183.173685,1213.504,1213.503568
1181.236607,1178.355061,1213.253,1213.252596
1181.236607,1178.355061,1213.253,1213.252596
1181.236607,1178.355061,1213.253,1213.252596
1181.236607,1178.355061,1213.253,1213.252596
1181.236607,1178.355061,1213.253,1213.252596
1181.236607,1178.355061,1213.253,1213.252596
1181.236607,1178.355061,1213.253,1213.252596
1181.236607,1178.355061,1213.253,1213.252596
1181.236607,1178.355061,1213.253,1213.252596
1181.236607,1178.355061,1213.253,1213.252596
1181.236607,1178.355061,1213.253,1213.252596
1181.236607,1178.355061,1213.253,1213.252596
1181.236607,1178.355061,1213.253,1213.252596
1181.236607,1178.355061,1213.253,1213.252596
1181.236607,1178.355061,1213.253,1213.252596
1181.236607,1178.355061,1213.253,1213.252596
1181.236607,1178.355061,1213.253,1213.252596
1181.236607,1178.355061,1213.253,1213.252596
1181.236607,1178.355061,1213.253,1213.252596
1181.236607,1178.355061,1213.253,1213.252596
1181.236607,1178.355061,1213.253,1213.252596
1181.236607,1178.355061,1213.253,1213.252596
1181.236607,1178.355061,1213.253,1213.252596
1181.236607,1178.355061,1213.253,1213.252596
1176.794946,1177.975864,1212.280,1212.280394
1176.794946,1177.975864,1212.280,1212.280394
1176.794946,1177.975864,1212.280,1212.280394
1176.794946,1177.975864,1212.280,1212.280394
1176.794946,1177.975864,1212.280,1212.280394
1176.794946,1177.975864,1212.280,1212.280394
1176.794946,1177.975864,1212.280,1212.280394
1176.794946,1177.975864,1212.280,1212.280394
1176.794946,1177.975864,1212.280,1212.280394
1176.794946,1177.975864,1212.280,1212.280394
1176.794946,1177.975864,1212.280,1212.280394
1176.794946,1177.975864,1212.280,1212.280394
1176.794946,1177.975864,1212.280,1212.280394
1176.794946,1177.975864,1212.280,1212.280394
1176.794946,1177.975864,1212.280,1212.280394
1176.794946,1177.975864,1212.280,1212.280394
1176.794946,1177.975864,1212.280,1212.280394
1176.794946,1177.975864,1212.280,1212.280394
1176.794946,1177.975864,1212.280,1212.280394
1176.794946,1177.975864,1212.280,1212.280394
1176.794946,1177.975864,1212.280,1212.280394
1176.794946,1177.975864,1212.280,1212.280394
1176.794946,1177.975864,1212.280,1212.280394
1176.794946,1177.975864,1212.280,1212.280394
1174.085886,1177.085023,1211.538,1211.537826
1174.085886,1177.085023,1211.538,1211.537826
1174.085886,1177.085023,1211.538,1211.537826
1174.085886,1177.085023,1211.538,1211.537826
1174.085886,1177.085023,1211.538,1211.537826
1174.085886,1177.085023,1211.538,1211.537826
1174.085886,1177.085023,1211.538,1211.537826
1174.085886,1177.085023,1211.538,1211.537826
1174.085886,1177.085023,1211.538,1211.537826
1174.085886,1177.085023,1211.538,1211.537826
1174.085886,1177.085023,1211.538,1211.537826
1174.085886,1177.085023,1211.538,1211.537826
1174.085886,1177.085023,1211.538,1211.537826
1174.085886,1177.085023,1211.538,1211.537826
1174.085886,1177.085023,1211.538,1211.537826
1174.085886,1177.085023,1211.538,1211.537826
1174.085886,1177.085023,1211.538,1211.537826
1174.085886,1177.085023,1211.538,1211.537826
1174.085886,1177.085023,1211.538,1211.537826
1174.085886,1177.085023,1211.538,1211.537826
1174.085886,1177.085023,1211.538,1211.537826
1174.085886,1177.085023,1211.538,1211.537826
1174.085886,1177.085023,1211.538,1211.537826
1174.085886,1177.085023,1211.538,1211.537826
1173.995409,1176.163631,1210.387,1210.387061
1173.995409,1176.163631,1210.387,1210.387061
1173.995409,1176.163631,1210.387,1210.387061
1173.995409,1176.163631,1210.387,1210.387061
1173.995409,1176.163631,1210.387,1210.387061
1173.995409,1176.163631,1210.387,1210.387061
1173.995409,1176.163631,1210.387,1210.387061
1173.995409,1176.163631,1210.387,1210.387061
1173.995409,1176.163631,1210.387,1210.387061
1173.995409,1176.163631,1210.387,1210.387061
1173.995409,1176.163631,1210.387,1210.387061
